Compound,Variants,Vmax (pmol/min/pmol P450),Km (?M),CLint (Vmax/Km) (?L/min/pmol P450),Primary metabolic reaction by CYP3A4,Reference
acalabrutinib,CYP3A4.01,0.3,1.58,0.19,hydroxylation to ACP-5862,Han et al 2021 109559
acalabrutinib,CYP3A4.02,1.85,5.93,0.31,hydroxylation to ACP-5862,Han et al 2021 109559
acalabrutinib,CYP3A4.03,1.04,1.43,0.77,hydroxylation to ACP-5862,Han et al 2021 109559
acalabrutinib,CYP3A4.04,0.79,2.75,0.3,hydroxylation to ACP-5862,Han et al 2021 109559
acalabrutinib,CYP3A4.05,1.01,9.49,0.11,hydroxylation to ACP-5862,Han et al 2021 109559
acalabrutinib,CYP3A4.09,1.23,30.02,0.04,hydroxylation to ACP-5862,Han et al 2021 109559
acalabrutinib,CYP3A4.10,0.56,7.75,0.07,hydroxylation to ACP-5862,Han et al 2021 109559
acalabrutinib,CYP3A4.11,2.81,2.48,1.13,hydroxylation to ACP-5862,Han et al 2021 109559
acalabrutinib,CYP3A4.14,0.35,10.02,0.04,hydroxylation to ACP-5862,Han et al 2021 109559
acalabrutinib,CYP3A4.15,0.92,3.53,0.26,hydroxylation to ACP-5862,Han et al 2021 109559
acalabrutinib,CYP3A4.16,0.23,5.8,0.04,hydroxylation to ACP-5862,Han et al 2021 109559
acalabrutinib,CYP3A4.19,0.15,3.89,20.33,hydroxylation to ACP-5862,Han et al 2021 109559
acalabrutinib,CYP3A4.23,0.13,7.38,0.02,hydroxylation to ACP-5862,Han et al 2021 109559
acalabrutinib,CYP3A4.24,0.12,3.05,20.05,hydroxylation to ACP-5862,Han et al 2021 109559
acalabrutinib,CYP3A4.28,0.35,11.2,0.03,hydroxylation to ACP-5862,Han et al 2021 109559
acalabrutinib,CYP3A4.29,1.31,3.42,0.39,hydroxylation to ACP-5862,Han et al 2021 109559
acalabrutinib,CYP3A4.31,0.22,2.54,0.09,hydroxylation to ACP-5862,Han et al 2021 109559
acalabrutinib,CYP3A4.32,0.12,2.56,0.05,hydroxylation to ACP-5862,Han et al 2021 109559
acalabrutinib,CYP3A4.33,1.22,2.01,0.61,hydroxylation to ACP-5862,Han et al 2021 109559
acalabrutinib,CYP3A4.34,0.14,1.58,0.09,hydroxylation to ACP-5862,Han et al 2021 109559
amiodarone,CYP3A4.01,16.33,21.7,0.76,N-ethylation to N-desethylamiodarone,Yang et al 2019
amiodarone,CYP3A4.02,36.22,16.59,2.23,N-ethylation to N-desethylamiodarone,Yang et al 2019
amiodarone,CYP3A4.03,12.17,11.93,1.03,N-ethylation to N-desethylamiodarone,Yang et al 2019
